POC   73 TId: 0 ( P-SLICE, nQP 40 QP 40 )       3816 bits [Y 36.7240 dB    U 41.7082 dB    V 43.8147 dB] [ET 11.85 ] [L0 72 68 64 60 ] [L1 ]
POC   74 TId: 0 ( P-SLICE, nQP 39 QP 39 )       4768 bits [Y 36.5572 dB    U 41.6775 dB    V 43.8784 dB] [ET 11.79 ] [L0 73 72 68 64 ] [L1 ]
POC   75 TId: 0 ( P-SLICE, nQP 40 QP 40 )       8136 bits [Y 35.4732 dB    U 41.3159 dB    V 43.5294 dB] [ET 12.87 ] [L0 74 72 68 64 ] [L1 ]
POC   76 TId: 0 ( P-SLICE, nQP 38 QP 38 )      29088 bits [Y 37.8170 dB    U 41.6049 dB    V 43.6599 dB] [ET 14.74 ] [L0 75 72 68 64 ] [L1 ]
POC   77 TId: 0 ( P-SLICE, nQP 40 QP 40 )      14192 bits [Y 34.6810 dB    U 40.4410 dB    V 42.5542 dB] [ET 13.81 ] [L0 76 72 68 64 ] [L1 ]
POC   78 TId: 0 ( P-SLICE, nQP 39 QP 39 )      18288 bits [Y 34.3461 dB    U 40.2484 dB    V 42.7997 dB] [ET 13.62 ] [L0 77 76 72 68 ] [L1 ]
POC   79 TId: 0 ( P-SLICE, nQP 40 QP 40 )      14088 bits [Y 33.7502 dB    U 40.2975 dB    V 43.0377 dB] [ET 13.15 ] [L0 78 76 72 68 ] [L1 ]
POC   80 TId: 0 ( P-SLICE, nQP 38 QP 38 )      36200 bits [Y 37.5093 dB    U 41.8488 dB    V 44.5230 dB] [ET 14.56 ] [L0 79 76 72 68 ] [L1 ]
POC   81 TId: 0 ( P-SLICE, nQP 40 QP 40 )       8032 bits [Y 35.5116 dB    U 41.7309 dB    V 44.7055 dB] [ET 12.63 ] [L0 80 76 72 68 ] [L1 ]
POC   82 TId: 0 ( P-SLICE, nQP 39 QP 39 )       5608 bits [Y 35.5943 dB    U 41.7553 dB    V 44.8213 dB] [ET 11.98 ] [L0 81 80 76 72 ] [L1 ]
POC   83 TId: 0 ( P-SLICE, nQP 40 QP 40 )       4968 bits [Y 35.4342 dB    U 41.6422 dB    V 44.7872 dB] [ET 12.03 ] [L0 82 80 76 72 ] [L1 ]
POC   84 TId: 0 ( P-SLICE, nQP 38 QP 38 )      19304 bits [Y 38.0693 dB    U 41.9133 dB    V 44.9494 dB] [ET 13.68 ] [L0 83 80 76 72 ] [L1 ]
POC   85 TId: 0 ( P-SLICE, nQP 40 QP 40 )       6024 bits [Y 36.3319 dB    U 41.6708 dB    V 44.7460 dB] [ET 12.52 ] [L0 84 80 76 72 ] [L1 ]
POC   86 TId: 0 ( P-SLICE, nQP 39 QP 39 )       8920 bits [Y 36.4588 dB    U 41.6027 dB    V 44.7307 dB] [ET 12.59 ] [L0 85 84 80 76 ] [L1 ]
POC   87 TId: 0 ( P-SLICE, nQP 40 QP 40 )       7312 bits [Y 36.0510 dB    U 41.7134 dB    V 44.7798 dB] [ET 12.52 ] [L0 86 84 80 76 ] [L1 ]
POC   88 TId: 0 ( P-SLICE, nQP 38 QP 38 )      23608 bits [Y 39.3096 dB    U 42.6997 dB    V 45.3223 dB] [ET 13.61 ] [L0 87 84 80 76 ] [L1 ]
POC   89 TId: 0 ( P-SLICE, nQP 40 QP 40 )       5192 bits [Y 37.6348 dB    U 42.5120 dB    V 45.2074 dB] [ET 12.35 ] [L0 88 84 80 76 ] [L1 ]
POC   90 TId: 0 ( P-SLICE, nQP 39 QP 39 )       7128 bits [Y 37.3427 dB    U 42.3576 dB    V 45.1566 dB] [ET 12.45 ] [L0 89 88 84 80 ] [L1 ]
POC   91 TId: 0 ( P-SLICE, nQP 40 QP 40 )       5320 bits [Y 36.7685 dB    U 42.1015 dB    V 45.1403 dB] [ET 12.39 ] [L0 90 88 84 80 ] [L1 ]
POC   92 TId: 0 ( P-SLICE, nQP 38 QP 38 )      24448 bits [Y 39.4083 dB    U 43.2060 dB    V 45.4425 dB] [ET 13.26 ] [L0 91 88 84 80 ] [L1 ]
POC   93 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 39.4083 dB    U 43.2060 dB    V 45.4425 dB] [ET 10.57 ] [L0 92 88 84 80 ] [L1 ]
POC   94 TId: 0 ( P-SLICE, nQP 39 QP 39 )        144 bits [Y 39.4083 dB    U 43.2060 dB    V 45.4425 dB] [ET  9.66 ] [L0 93 92 88 84 ] [L1 ]
POC   95 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 39.4083 dB    U 43.2060 dB    V 45.4425 dB] [ET  9.64 ] [L0 94 92 88 84 ] [L1 ]
POC   96 TId: 0 ( P-SLICE, nQP 38 QP 38 )        552 bits [Y 39.6524 dB    U 43.2506 dB    V 45.4793 dB] [ET  9.89 ] [L0 95 92 88 84 ] [L1 ]
POC   97 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 39.6524 dB    U 43.2506 dB    V 45.4793 dB] [ET  9.64 ] [L0 96 92 88 84 ] [L1 ]
POC   98 TId: 0 ( P-SLICE, nQP 39 QP 39 )        104 bits [Y 39.6524 dB    U 43.2506 dB    V 45.4793 dB] [ET  9.17 ] [L0 97 96 92 88 ] [L1 ]
POC   99 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 39.6524 dB    U 43.2506 dB    V 45.4793 dB] [ET  9.19 ] [L0 98 96 92 88 ] [L1 ]
POC  100 TId: 0 ( P-SLICE, nQP 38 QP 38 )        384 bits [Y 39.7557 dB    U 43.2506 dB    V 45.4793 dB] [ET  9.30 ] [L0 99 96 92 88 ] [L1 ]
POC  101 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 39.7557 dB    U 43.2506 dB    V 45.4793 dB] [ET  9.16 ] [L0 100 96 92 88 ] [L1 ]
POC  102 TId: 0 ( P-SLICE, nQP 39 QP 39 )        104 bits [Y 39.7557 dB    U 43.2506 dB    V 45.4793 dB] [ET  8.73 ] [L0 101 100 96 92 ] [L1 ]
POC  103 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 39.7554 dB    U 43.2506 dB    V 45.4793 dB] [ET  8.70 ] [L0 102 100 96 92 ] [L1 ]
POC  104 TId: 0 ( P-SLICE, nQP 38 QP 38 )        632 bits [Y 39.7495 dB    U 43.2514 dB    V 45.4809 dB] [ET  8.91 ] [L0 103 100 96 92 ] [L1 ]
POC  105 TId: 0 ( P-SLICE, nQP 40 QP 40 )       1016 bits [Y 39.4271 dB    U 43.2495 dB    V 45.4827 dB] [ET  8.95 ] [L0 104 100 96 92 ] [L1 ]
POC  106 TId: 0 ( P-SLICE, nQP 39 QP 39 )       2256 bits [Y 39.1950 dB    U 43.2510 dB    V 45.4840 dB] [ET  9.23 ] [L0 105 104 100 96 ] [L1 ]
POC  107 TId: 0 ( P-SLICE, nQP 40 QP 40 )       2464 bits [Y 38.5525 dB    U 43.1882 dB    V 45.4328 dB] [ET  9.55 ] [L0 106 104 100 96 ] [L1 ]
POC  108 TId: 0 ( P-SLICE, nQP 38 QP 38 )       7448 bits [Y 39.3524 dB    U 43.1788 dB    V 45.4074 dB] [ET 10.10 ] [L0 107 104 100 96 ] [L1 ]
POC  109 TId: 0 ( P-SLICE, nQP 40 QP 40 )       5240 bits [Y 37.1638 dB    U 42.8563 dB    V 45.0220 dB] [ET 10.19 ] [L0 108 104 100 96 ] [L1 ]
POC  110 TId: 0 ( P-SLICE, nQP 39 QP 39 )       8936 bits [Y 36.5745 dB    U 42.3578 dB    V 44.5140 dB] [ET 10.70 ] [L0 109 108 104 100 ] [L1 ]
POC  111 TId: 0 ( P-SLICE, nQP 40 QP 40 )       9408 bits [Y 35.3752 dB    U 41.7271 dB    V 43.7081 dB] [ET 11.05 ] [L0 110 108 104 100 ] [L1 ]
POC  112 TId: 0 ( P-SLICE, nQP 38 QP 38 )      29176 bits [Y 38.0809 dB    U 42.7251 dB    V 44.7274 dB] [ET 12.63 ] [L0 111 108 104 100 ] [L1 ]
POC  113 TId: 0 ( P-SLICE, nQP 40 QP 40 )      12568 bits [Y 34.2784 dB    U 41.9427 dB    V 43.9971 dB] [ET 12.30 ] [L0 112 108 104 100 ] [L1 ]
POC  114 TId: 0 ( P-SLICE, nQP 39 QP 39 )      18536 bits [Y 34.0740 dB    U 42.1868 dB    V 44.4074 dB] [ET 13.19 ] [L0 113 112 108 104 ] [L1 ]
POC  115 TId: 0 ( P-SLICE, nQP 40 QP 40 )      15888 bits [Y 33.0976 dB    U 41.9522 dB    V 44.3948 dB] [ET 13.32 ] [L0 114 112 108 104 ] [L1 ]
POC  116 TId: 0 ( P-SLICE, nQP 38 QP 38 )      51200 bits [Y 37.2757 dB    U 43.6618 dB    V 46.1375 dB] [ET 15.91 ] [L0 115 112 108 104 ] [L1 ]
POC  117 TId: 0 ( P-SLICE, nQP 40 QP 40 )      15776 bits [Y 33.7454 dB    U 43.2015 dB    V 45.9931 dB] [ET 13.63 ] [L0 116 112 108 104 ] [L1 ]
POC  118 TId: 0 ( P-SLICE, nQP 39 QP 39 )      18096 bits [Y 33.8609 dB    U 43.8891 dB    V 46.4875 dB] [ET 14.40 ] [L0 117 116 112 108 ] [L1 ]
POC  119 TId: 0 ( P-SLICE, nQP 40 QP 40 )      16432 bits [Y 33.2812 dB    U 44.3048 dB    V 46.8005 dB] [ET 14.25 ] [L0 118 116 112 108 ] [L1 ]
POC  120 TId: 0 ( P-SLICE, nQP 38 QP 38 )      46304 bits [Y 37.9040 dB    U 46.5663 dB    V 48.4073 dB] [ET 16.38 ] [L0 119 116 112 108 ] [L1 ]
