POC	Control ON/OFF	SP	PV	PVavg	PID	EST			e	Se	de		no PID		SP	no PID	with PID
104	1	3.951	8.08642	3.98358	-3.93397	0.842619			-3.47375	-5.3647	-3.18194		8.28982	98	3.951	5.8605638776	3.98358
105	1	3.951	0.504359	3.94844	7.00966	4.2131			2.89518	0.425657	3.18447		5.95607	99	3.951	5.95607	3.94844
106	1	3.951	6.07857	3.96974	-1.19841	0.842619			-1.78716	-3.14865	-2.34117		6.06149	100	3.951	5.9571242	3.96974
107	1	3.951	0.503171	3.93542	8.38471	4.2131			2.89618	2.6437	2.34167		5.82657	101	3.951	5.82657	3.93542
108	1	3.951	8.2675	3.97789	-3.22739	0.842619			-3.62586	-4.60801	-3.26102		8.21865	102	3.951	5.8500217647	3.97789
109	1	3.951	0.498437	3.94411	7.85389	4.2131			2.90015	1.19229	3.263		5.86202	103	3.951	5.86202	3.94411
110	1	3.951	5.99123	3.96379	-0.264828	0.842619			-1.71379	-2.23529	-2.30697		5.98153	104	3.951	5.8631691346	3.96379
111	1	3.951	0.502937	3.93083	9.26185	4.2131			2.89637	3.55745	2.30508		5.93758	105	3.951	5.93758	3.93083
112	1	3.951	8.17708	3.97089	-2.13832	0.842619			-3.5499	-3.54235	-3.22314		8.21904	106	3.951	5.9591032075	3.97089
113	1	3.951	0.52002	3.93864	8.8397	4.2131			2.88202	2.22169	3.21596		6.02755	107	3.951	6.02755	3.93864
114	1	3.951	6.10523	3.9587	0.552474	0.842619			-1.80955	-1.39741	-2.34579		6.18047	108	3.951	6.0289659259	3.9587
115	1	3.951	0.51913	3.92715	10.1162	4.2131			2.88277	4.36813	2.34616		6.11757	109	3.951	6.11757	3.92715
116	1	3.951	8.46941	3.96844	-1.88797	0.842619			-3.79546	-3.2228	-3.33912		8.74962	110	3.951	6.1414977273	3.96844
117	1	3.951	0.539854	3.93755	9.24356	4.2131			2.86536	2.50793	3.33041		6.09171	111	3.951	6.09171	3.93755
118	1	3.951	6.14425	3.95725	0.771351	0.842619			-1.84233	-1.17672	-2.35384		6.33458	112	3.951	6.0938784821	3.95725
119	1	3.951	0.525871	3.92689	10.3402	4.2131			2.87711	4.57749	2.35972		6.13736	113	3.951	6.13736	3.92689
120	1	3.951	8.39029	3.96604	-1.52228	0.842619			-3.729	-2.88051	-3.30305		9.00386	114	3.951	6.1625047368	3.96604
121	1	3.951	0.507188	3.93596	9.61599	4.2131			2.8928	2.9051	3.3109		6.4114	115	3.951	6.4114	3.93596
122	1	3.951	6.02185	3.95395	1.39225	1.39819			-1.73951	-0.573927	-2.31616		6.24547	116	3.951	6.409969569	3.95395
123	1	3.951	2.01579	3.93738	8.00114	4.2131			1.62558	2.67723	1.68254		6.65031	117	3.951	6.65031	3.93738
124	1	3.951	8.36075	3.97487	-2.73948	0.842619			-3.70419	-4.73115	-2.66488		8.98004	118	3.951	6.6700534746	3.97487
125	1	3.951	0.550151	3.94609	7.66959	4.2131			2.85671	0.982274	3.28045		6.46648	119	3.951	6.46648	3.94609
126	1	3.951	6.37443	3.96632	-1.19653	0.842619			-2.03568	-3.08908	-2.4462		6.60101	120	3.951	6.4676010833	3.96632
127																	
