POC   85 TId: 0 ( P-SLICE, nQP 30 QP 30 )       4648 bits [Y 40.0769 dB    U 44.2940 dB    V 45.5615 dB] [ET  8.70 ] [L0 84 80 76 ] [L1 ]
POC   86 TId: 0 ( P-SLICE, nQP 29 QP 29 )      11384 bits [Y 39.8414 dB    U 44.2181 dB    V 45.5101 dB] [ET  9.17 ] [L0 85 84 80 ] [L1 ]
POC   87 TId: 0 ( P-SLICE, nQP 30 QP 30 )       6192 bits [Y 39.7713 dB    U 44.1712 dB    V 45.3915 dB] [ET  8.88 ] [L0 86 84 80 ] [L1 ]
POC   88 TId: 0 ( P-SLICE, nQP 28 QP 28 )      31464 bits [Y 40.5874 dB    U 44.4090 dB    V 45.6642 dB] [ET 10.77 ] [L0 87 84 80 ] [L1 ]
POC   89 TId: 0 ( P-SLICE, nQP 30 QP 30 )       4904 bits [Y 40.0502 dB    U 44.2572 dB    V 45.5400 dB] [ET  8.76 ] [L0 88 84 80 ] [L1 ]
POC   90 TId: 0 ( P-SLICE, nQP 29 QP 29 )      11904 bits [Y 39.7969 dB    U 44.1560 dB    V 45.4167 dB] [ET  9.34 ] [L0 89 88 84 ] [L1 ]
POC   91 TId: 0 ( P-SLICE, nQP 30 QP 30 )       6984 bits [Y 39.7236 dB    U 44.1044 dB    V 45.3783 dB] [ET  8.98 ] [L0 90 88 84 ] [L1 ]
POC   92 TId: 0 ( P-SLICE, nQP 28 QP 28 )      33792 bits [Y 40.5522 dB    U 44.3393 dB    V 45.6111 dB] [ET 10.96 ] [L0 91 88 84 ] [L1 ]
POC   93 TId: 0 ( P-SLICE, nQP 30 QP 30 )       4712 bits [Y 40.0059 dB    U 44.1856 dB    V 45.5029 dB] [ET  8.67 ] [L0 92 88 84 ] [L1 ]
POC   94 TId: 0 ( P-SLICE, nQP 29 QP 29 )      11312 bits [Y 39.7516 dB    U 44.1218 dB    V 45.3454 dB] [ET  9.33 ] [L0 93 92 88 ] [L1 ]
POC   95 TId: 0 ( P-SLICE, nQP 30 QP 30 )       6064 bits [Y 39.6237 dB    U 44.1023 dB    V 45.2889 dB] [ET  8.90 ] [L0 94 92 88 ] [L1 ]
POC   96 TId: 0 ( P-SLICE, nQP 28 QP 28 )      38560 bits [Y 40.5459 dB    U 44.3422 dB    V 45.5742 dB] [ET 11.35 ] [L0 95 92 88 ] [L1 ]
POC   97 TId: 0 ( P-SLICE, nQP 30 QP 30 )       5456 bits [Y 39.9362 dB    U 44.1648 dB    V 45.4992 dB] [ET  8.83 ] [L0 96 92 88 ] [L1 ]
POC   98 TId: 0 ( P-SLICE, nQP 29 QP 29 )      11880 bits [Y 39.6985 dB    U 44.0706 dB    V 45.3655 dB] [ET  9.37 ] [L0 97 96 92 ] [L1 ]
POC   99 TId: 0 ( P-SLICE, nQP 30 QP 30 )       6760 bits [Y 39.5512 dB    U 44.0638 dB    V 45.2751 dB] [ET  9.00 ] [L0 98 96 92 ] [L1 ]
POC  100 TId: 0 ( P-SLICE, nQP 28 QP 28 )      43088 bits [Y 40.5282 dB    U 44.2802 dB    V 45.5437 dB] [ET 11.67 ] [L0 99 96 92 ] [L1 ]
POC  101 TId: 0 ( P-SLICE, nQP 30 QP 30 )       5992 bits [Y 39.8582 dB    U 44.1410 dB    V 45.4100 dB] [ET  8.94 ] [L0 100 96 92 ] [L1 ]
POC  102 TId: 0 ( P-SLICE, nQP 29 QP 29 )      13288 bits [Y 39.6881 dB    U 44.0847 dB    V 45.3041 dB] [ET  9.57 ] [L0 101 100 96 ] [L1 ]
POC  103 TId: 0 ( P-SLICE, nQP 30 QP 30 )       9240 bits [Y 39.4930 dB    U 44.0244 dB    V 45.2618 dB] [ET  9.22 ] [L0 102 100 96 ] [L1 ]
POC  104 TId: 0 ( P-SLICE, nQP 28 QP 28 )      43680 bits [Y 40.4702 dB    U 44.2596 dB    V 45.5134 dB] [ET 11.71 ] [L0 103 100 96 ] [L1 ]
POC  105 TId: 0 ( P-SLICE, nQP 30 QP 30 )       7488 bits [Y 39.8063 dB    U 44.1060 dB    V 45.4151 dB] [ET  9.16 ] [L0 104 100 96 ] [L1 ]
POC  106 TId: 0 ( P-SLICE, nQP 29 QP 29 )      14248 bits [Y 39.5662 dB    U 44.0744 dB    V 45.2650 dB] [ET  9.70 ] [L0 105 104 100 ] [L1 ]
POC  107 TId: 0 ( P-SLICE, nQP 30 QP 30 )       9616 bits [Y 39.4080 dB    U 44.0185 dB    V 45.2312 dB] [ET  9.34 ] [L0 106 104 100 ] [L1 ]
POC  108 TId: 0 ( P-SLICE, nQP 28 QP 28 )      47440 bits [Y 40.5092 dB    U 44.2766 dB    V 45.5566 dB] [ET 11.96 ] [L0 107 104 100 ] [L1 ]
POC  109 TId: 0 ( P-SLICE, nQP 30 QP 30 )       7144 bits [Y 39.8167 dB    U 44.1522 dB    V 45.4516 dB] [ET  9.24 ] [L0 108 104 100 ] [L1 ]
POC  110 TId: 0 ( P-SLICE, nQP 29 QP 29 )      14896 bits [Y 39.6277 dB    U 44.0836 dB    V 45.2815 dB] [ET  9.86 ] [L0 109 108 104 ] [L1 ]
POC  111 TId: 0 ( P-SLICE, nQP 30 QP 30 )       9624 bits [Y 39.4665 dB    U 44.0182 dB    V 45.2476 dB] [ET  9.49 ] [L0 110 108 104 ] [L1 ]
POC  112 TId: 0 ( P-SLICE, nQP 28 QP 28 )      46448 bits [Y 40.4819 dB    U 44.2722 dB    V 45.5457 dB] [ET 11.89 ] [L0 111 108 104 ] [L1 ]
POC  113 TId: 0 ( P-SLICE, nQP 30 QP 30 )       7480 bits [Y 39.7701 dB    U 44.1302 dB    V 45.4094 dB] [ET  9.30 ] [L0 112 108 104 ] [L1 ]
POC  114 TId: 0 ( P-SLICE, nQP 29 QP 29 )      13216 bits [Y 39.7851 dB    U 44.0569 dB    V 45.2720 dB] [ET  9.72 ] [L0 113 112 108 ] [L1 ]
POC  115 TId: 0 ( P-SLICE, nQP 30 QP 30 )      10592 bits [Y 39.3971 dB    U 43.9363 dB    V 45.1644 dB] [ET  9.47 ] [L0 114 112 108 ] [L1 ]
POC  116 TId: 0 ( P-SLICE, nQP 28 QP 28 )      54168 bits [Y 40.5179 dB    U 44.2094 dB    V 45.5000 dB] [ET 12.48 ] [L0 115 112 108 ] [L1 ]
POC  117 TId: 0 ( P-SLICE, nQP 30 QP 30 )       7880 bits [Y 39.8065 dB    U 44.1007 dB    V 45.3552 dB] [ET  9.32 ] [L0 116 112 108 ] [L1 ]
POC  118 TId: 0 ( P-SLICE, nQP 29 QP 29 )      14432 bits [Y 39.8430 dB    U 44.0331 dB    V 45.2639 dB] [ET  9.63 ] [L0 117 116 112 ] [L1 ]
POC  119 TId: 0 ( P-SLICE, nQP 30 QP 30 )      10056 bits [Y 39.4825 dB    U 43.9607 dB    V 45.1204 dB] [ET  9.34 ] [L0 118 116 112 ] [L1 ]
POC  120 TId: 0 ( P-SLICE, nQP 28 QP 28 )      48864 bits [Y 40.5117 dB    U 44.2770 dB    V 45.5352 dB] [ET 12.01 ] [L0 119 116 112 ] [L1 ]
POC  121 TId: 0 ( P-SLICE, nQP 30 QP 30 )       7504 bits [Y 39.8056 dB    U 44.1054 dB    V 45.3480 dB] [ET  9.25 ] [L0 120 116 112 ] [L1 ]
POC  122 TId: 0 ( P-SLICE, nQP 29 QP 29 )      13784 bits [Y 39.8641 dB    U 44.0433 dB    V 45.2535 dB] [ET  9.52 ] [L0 121 120 116 ] [L1 ]
POC  123 TId: 0 ( P-SLICE, nQP 30 QP 30 )       9008 bits [Y 39.4925 dB    U 43.9739 dB    V 45.1165 dB] [ET  9.29 ] [L0 122 120 116 ] [L1 ]
POC  124 TId: 0 ( P-SLICE, nQP 28 QP 28 )      46320 bits [Y 40.4975 dB    U 44.2664 dB    V 45.4889 dB] [ET 11.95 ] [L0 123 120 116 ] [L1 ]
POC  125 TId: 0 ( P-SLICE, nQP 30 QP 30 )       6688 bits [Y 39.8739 dB    U 44.1946 dB    V 45.3704 dB] [ET  9.03 ] [L0 124 120 116 ] [L1 ]
POC  126 TId: 0 ( P-SLICE, nQP 29 QP 29 )      11680 bits [Y 39.8307 dB    U 44.1057 dB    V 45.2938 dB] [ET  9.45 ] [L0 125 124 120 ] [L1 ]
POC  127 TId: 0 ( P-SLICE, nQP 30 QP 30 )       8608 bits [Y 39.5299 dB    U 44.0657 dB    V 45.2096 dB] [ET  9.16 ] [L0 126 124 120 ] [L1 ]


SUMMARY --------------------------------------------------------
